Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:45:56, 0.00, 42.00, 1215020, 575738, 0, 0.24
2024-09-17 오후 10:45:57, 0.39, 42.00, 1220912, 578530, 0, 0.48
2024-09-17 오후 10:45:58, 0.00, 42.00, 1226804, 581322, 0, 0.54
2024-09-17 오후 10:45:59, 0.38, 42.00, 1232696, 584114, 0, 0.30
2024-09-17 오후 10:46:01, 0.38, 42.00, 1234405, 584924, 0, 0.55
2024-09-17 오후 10:46:02, 0.38, 42.00, 1240297, 587716, 0, 0.44
2024-09-17 오후 10:46:03, 0.00, 42.00, 1244716, 589810, 0, 0.24
2024-09-17 오후 10:46:04, 1.52, 42.00, 1250608, 592602, 0, 0.26
2024-09-17 오후 10:46:05, 0.38, 42.00, 1256323, 595310, 0, 0.12
2024-09-17 오후 10:46:06, 0.00, 42.00, 1262215, 598102, 0, 0.21
2024-09-17 오후 10:46:07, 0.00, 42.00, 1268107, 600894, 0, 0.29
2024-09-17 오후 10:46:08, 0.38, 42.00, 1273999, 603686, 0, 0.25
2024-09-17 오후 10:46:09, 0.38, 42.00, 1279891, 606478, 0, 0.28
2024-09-17 오후 10:46:10, 0.00, 42.00, 1285724, 609242, 0, 0.33
2024-09-17 오후 10:46:11, 0.77, 42.00, 1291616, 612034, 0, 0.32
2024-09-17 오후 10:46:12, 0.38, 42.00, 1297508, 614826, 0, 0.27
2024-09-17 오후 10:46:13, 0.00, 42.00, 1303400, 617618, 0, 0.28
2024-09-17 오후 10:46:14, 0.00, 42.00, 1309292, 620410, 0, 0.37
2024-09-17 오후 10:46:15, 0.38, 42.00, 1315184, 623202, 0, 0.29
2024-09-17 오후 10:46:16, 0.38, 42.00, 1321076, 625994, 0, 0.44
2024-09-17 오후 10:46:17, 0.00, 42.00, 1326968, 628786, 0, 0.34
2024-09-17 오후 10:46:18, 0.38, 42.00, 1330561, 630488, 0, 0.23
2024-09-17 오후 10:46:19, 0.38, 42.00, 1334569, 632388, 0, 0.34
2024-09-17 오후 10:46:20, 0.39, 42.00, 1338988, 634482, 0, 0.17
2024-09-17 오후 10:46:21, 0.38, 42.00, 1344880, 637274, 0, 0.25
2024-09-17 오후 10:46:22, 0.00, 42.00, 1350595, 639982, 0, 0.29
2024-09-17 오후 10:46:23, 0.38, 42.00, 1356487, 642774, 0, 0.28
2024-09-17 오후 10:46:24, 0.38, 42.00, 1362379, 645566, 0, 0.12
2024-09-17 오후 10:46:25, 0.38, 42.00, 1368271, 648358, 0, 0.28
2024-09-17 오후 10:46:26, 0.38, 42.00, 1374163, 651150, 0, 0.36
2024-09-17 오후 10:46:27, 0.00, 42.00, 1379996, 653914, 0, 0.31
2024-09-17 오후 10:46:28, 0.77, 42.00, 1385888, 656706, 0, 0.29
2024-09-17 오후 10:46:29, 0.77, 42.00, 1391780, 659498, 0, 0.34
2024-09-17 오후 10:46:30, 0.00, 42.00, 1397672, 662290, 0, 0.53
2024-09-17 오후 10:46:31, 0.00, 42.00, 1403564, 665082, 0, 0.29
2024-09-17 오후 10:46:32, 0.76, 42.00, 1409456, 667874, 0, 0.30
2024-09-17 오후 10:46:33, 1.15, 42.00, 1415348, 670666, 0, 0.33
2024-09-17 오후 10:46:34, 0.00, 42.00, 1421240, 673458, 0, 0.34
2024-09-17 오후 10:46:35, 0.38, 42.00, 1426837, 676110, 0, 0.25
2024-09-17 오후 10:46:36, 0.38, 42.00, 1428841, 677060, 0, 0.50
2024-09-17 오후 10:46:37, 0.38, 42.00, 1433673, 679350, 0, 0.40
2024-09-17 오후 10:46:38, 0.00, 42.00, 1439152, 681946, 0, 0.30
2024-09-17 오후 10:46:39, 0.38, 42.00, 1444867, 684654, 0, 0.33
2024-09-17 오후 10:46:40, 0.00, 42.00, 1450759, 687446, 0, 0.24
2024-09-17 오후 10:46:41, 0.00, 42.00, 1456651, 690238, 0, 0.30
2024-09-17 오후 10:46:42, 1.53, 42.00, 1462543, 693030, 0, 0.33
2024-09-17 오후 10:46:43, 0.38, 42.00, 1468435, 695822, 0, 0.46
2024-09-17 오후 10:46:44, 0.38, 42.00, 1474327, 698614, 0, 0.38
2024-09-17 오후 10:46:45, 0.00, 42.00, 1480160, 701378, 0, 0.32
2024-09-17 오후 10:46:46, 0.00, 42.00, 1486052, 704170, 0, 0.41
2024-09-17 오후 10:46:47, 0.38, 42.00, 1491944, 706962, 0, 0.30
2024-09-17 오후 10:46:48, 0.76, 42.00, 1497836, 709754, 0, 0.49
2024-09-17 오후 10:46:49, 0.00, 42.00, 1503728, 712546, 0, 0.36
2024-09-17 오후 10:46:50, 0.00, 42.00, 1509620, 715338, 0, 0.42
2024-09-17 오후 10:46:51, 0.00, 42.00, 1515512, 718130, 0, 0.41
2024-09-17 오후 10:46:52, 0.38, 42.00, 1521404, 720922, 0, 0.43
2024-09-17 오후 10:46:54, 0.38, 42.00, 1523113, 721732, 0, 0.41
2024-09-17 오후 10:46:55, 1.16, 42.00, 1528888, 724469, 0, 0.20
2024-09-17 오후 10:46:56, 0.38, 42.00, 1533424, 726618, 0, 0.26
2024-09-17 오후 10:46:57, 0.38, 42.00, 1539139, 729326, 0, 0.31
2024-09-17 오후 10:46:58, 0.38, 42.00, 1545031, 732118, 0, 0.30
2024-09-17 오후 10:46:59, 0.00, 42.00, 1550923, 734910, 0, 0.50
2024-09-17 오후 10:47:00, 1.14, 42.00, 1556815, 737702, 0, 0.28
2024-09-17 오후 10:47:01, 0.38, 42.00, 1562707, 740494, 0, 1.02
2024-09-17 오후 10:47:02, 0.38, 42.00, 1568599, 743286, 0, 0.44
2024-09-17 오후 10:47:03, 0.38, 42.00, 1574432, 746050, 0, 0.52
2024-09-17 오후 10:47:04, 0.00, 42.00, 1580324, 748842, 0, 0.37
